,Country.of.Origin,Bag.Weight,Variety,Processing.Method,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Grade,altitude_mean_km
1128,Mexico,1 kg,Typica,Washed / Wet,0.14,1,0,Green,17,Specialty Grade,1.3
1129,Nicaragua,69 kg,Caturra,Washed / Wet,0.1,0,0,Green,5,High-Quality Grade,1.2
1130,Myanmar,2 kg,Other,Washed / Wet,0,0,0,Green,4,High-Quality Grade,3.8
1131,Mexico,2 kg,Typica,Washed / Wet,0,0,0,Green,2,High-Quality Grade,1.4
1132,Taiwan,30 kg,Typica,Washed / Wet,0.11,0,0,Green,0,High-Quality Grade,0.2
1133,Thailand,1 kg,,Washed / Wet,0,0,0,Green,0,High-Quality Grade,0.8
1134,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,9,High-Quality Grade,1.2
1135,Mexico,1 kg,Other,Washed / Wet,0.11,0,0,Green,12,High-Quality Grade,1.1
1136,Ethiopia,6,,,0.05,0,0,,2,High-Quality Grade,0
1137,Colombia,2 kg,,Washed / Wet,0,0,0,Green,1,High-Quality Grade,0
1138,United States (Hawaii),100 kg,Hawaiian Kona,Natural / Dry,0.11,1,0,Green,3,High-Quality Grade,0
1139,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,4,High-Quality Grade,1.3
1140,Mexico,1 kg,Other,Washed / Wet,0.12,1,0,Green,7,High-Quality Grade,1.1
1141,Mexico,1 kg,Bourbon,Washed / Wet,0,0,0,,0,High-Quality Grade,1.1
1142,Mexico,1 kg,Catuai,Washed / Wet,0.11,0,0,Green,3,High-Quality Grade,1.1
1143,Mexico,1 kg,Typica,Natural / Dry,0.12,0,0,Green,6,High-Quality Grade,1.2
1144,Mexico,1 kg,Mundo Novo,Washed / Wet,0.11,0,0,Green,0,High-Quality Grade,1.2
1145,United States (Hawaii),100 lbs,,,0.05,3,0,,0,High-Quality Grade,0
1146,Kenya,12000 kg,SL34,Washed / Wet,0.11,0,1,,5,High-Quality Grade,1.5
1147,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,2,High-Quality Grade,1.7
1148,Nicaragua,2 kg,Caturra,Washed / Wet,0.11,0,0,Green,0,High-Quality Grade,1.2
1149,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,3,High-Quality Grade,1.3
1150,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.12,7,0,Blue-Green,10,High-Quality Grade,0
1151,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,4,Green,1,High-Quality Grade,190.2
1152,Taiwan,50 kg,Typica,Natural / Dry,0,0,0,,0,High-Quality Grade,1
1153,Taiwan,20 kg,Typica,Washed / Wet,0.1,0,0,Blue-Green,0,High-Quality Grade,0.6
1154,Thailand,1 kg,,Washed / Wet,0.12,0,0,Green,0,High-Quality Grade,0.8
1155,Peru,5 lbs,,Washed / Wet,0.12,1,0,Green,2,High-Quality Grade,0
1156,Costa Rica,2 kg,Catuai,Washed / Wet,0.1,0,0,Bluish-Green,4,High-Quality Grade,1.1
1157,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,4,High-Quality Grade,1.4
1158,Mexico,1 kg,Bourbon,Washed / Wet,0.13,0,0,Green,4,High-Quality Grade,1
1159,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,5,High-Quality Grade,1.3
1160,Mexico,1 kg,Bourbon,Washed / Wet,0.14,0,0,None,0,High-Quality Grade,1.4
1161,Mexico,1 kg,Typica,Washed / Wet,0.1,1,0,Green,22,High-Quality Grade,1.1
1162,Guatemala,69 kg,Bourbon,Washed / Wet,0,0,0,Green,4,High-Quality Grade,0
1163,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,,7,High-Quality Grade,1.1
1164,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,2,Green,1,High-Quality Grade,0.4
1165,El Salvador,69 kg,Bourbon,Washed / Wet,0,0,0,Bluish-Green,12,High-Quality Grade,1.2
1166,Thailand,1 kg,,Washed / Wet,0.12,0,0,Blue-Green,0,High-Quality Grade,0.8
1167,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,6,High-Quality Grade,0.4
1168,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,6,High-Quality Grade,1.4
1169,Mexico,1 kg,Caturra,Washed / Wet,0.13,5,0,None,6,High-Quality Grade,1
1170,Mexico,1 kg,Mundo Novo,Washed / Wet,0,0,0,,9,High-Quality Grade,1.3
1171,Thailand,1 lbs,Peaberry,,0,1,0,,0,High-Quality Grade,0
1172,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,None,11,High-Quality Grade,1.2
1173,Mexico,1 kg,Caturra,Washed / Wet,0.13,0,0,Green,5,High-Quality Grade,1.6
1174,Colombia,70 kg,,,0.1,0,0,,4,High-Quality Grade,1.8
1175,Guatemala,69 kg,,,0.17,1,0,,19,High-Quality Grade,0.4
1176,Nicaragua,69 kg,Caturra,Natural / Dry,0.12,0,0,Green,6,High-Quality Grade,1.1
1177,Taiwan,2 kg,Typica,Natural / Dry,0,0,0,,1,High-Quality Grade,0.7
1178,Colombia,70 kg,Caturra,Washed / Wet,0,0,0,Green,2,High-Quality Grade,1.6
1179,Mexico,1 kg,Caturra,Washed / Wet,0.12,1,0,Green,20,High-Quality Grade,1.6
1180,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Bluish-Green,5,High-Quality Grade,1.1
1181,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,2,High-Quality Grade,0.4
1182,Guatemala,69 kg,Other,Washed / Wet,0.1,1,0,Green,4,High-Quality Grade,0.4
1183,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,Green,30,High-Quality Grade,0.8
1184,Cote d?Ivoire,1 kg,,Washed / Wet,0.13,1,0,Bluish-Green,2,High-Quality Grade,0.2
1185,Colombia,3 lbs,Caturra,Washed / Wet,0,0,0,Green,3,High-Quality Grade,1.2
1186,Mexico,1 kg,Typica,Washed / Wet,0.14,0,0,None,23,High-Quality Grade,1
1187,Mexico,1 kg,Typica,Washed / Wet,0.14,0,0,Green,19,High-Quality Grade,0.8
1188,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,6,High-Quality Grade,0
1189,Taiwan,20 kg,Typica,Washed / Wet,0.11,0,0,Blue-Green,0,High-Quality Grade,0.8
1190,Mexico,1 kg,Bourbon,Washed / Wet,0.13,0,0,Green,10,High-Quality Grade,1
1191,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,0,High-Quality Grade,0.4
1192,Honduras,69 kg,Catuai,Washed / Wet,0.11,0,0,Green,5,High-Quality Grade,1.7
1193,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,8,Green,6,High-Quality Grade,1.3
1194,Guatemala,69 kg,Catuai,Washed / Wet,0.11,0,0,Green,6,High-Quality Grade,1.6
1195,Costa Rica,2 kg,Catuai,Washed / Wet,0.1,5,0,None,20,High-Quality Grade,0
1196,Mexico,1 kg,Typica,Washed / Wet,0.14,0,0,None,8,High-Quality Grade,1.6
1197,Mexico,1 kg,Typica,Washed / Wet,0.14,0,0,Green,34,High-Quality Grade,1.4
1198,Mexico,6,Typica,,0.01,0,0,,8,High-Quality Grade,1.2
1199,Guatemala,69 kg,Bourbon,Washed / Wet,0.1,0,0,Green,1,High-Quality Grade,1.7
1200,United States (Puerto Rico),5 lbs,Other,Washed / Wet,0.13,0,0,Green,0,High-Quality Grade,0.3
1201,Mexico,1 kg,Typica,Washed / Wet,0.16,0,0,None,2,High-Quality Grade,1.5
1202,Mexico,1 kg,Mundo Novo,Washed / Wet,0.11,0,0,Green,45,High-Quality Grade,1.1
1203,Mexico,1 kg,Typica,Washed / Wet,0.1,0,0,Bluish-Green,0,High-Quality Grade,1.2
1204,,70 kg,,,0.1,0,0,,3,High-Quality Grade,0
1205,Guatemala,69 kg,Other,Washed / Wet,0.12,0,0,Green,3,High-Quality Grade,0.4
1206,Honduras,2 kg,Pacas,Washed / Wet,0.11,0,0,Green,12,High-Quality Grade,1.4
1207,Peru,69 kg,Typica,Washed / Wet,0,0,0,,4,High-Quality Grade,1.4
1208,Mexico,1 kg,Mundo Novo,Natural / Dry,0.12,0,0,None,12,High-Quality Grade,1.3
1209,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.14,3,0,Green,17,High-Quality Grade,1.6
1210,Mexico,1 kg,Typica,Washed / Wet,0.14,7,0,Green,38,High-Quality Grade,0
1211,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,8,High-Quality Grade,1.3
1212,Mexico,1 kg,Typica,Washed / Wet,0.16,0,0,None,0,High-Quality Grade,1.4
1213,Nicaragua,1 kg,Caturra,Other,0.1,0,2,Green,4,High-Quality Grade,1.1
1214,United States (Hawaii),2 lbs,,Natural / Dry,0.12,5,0,Green,8,High-Quality Grade,0
1215,Guatemala,69 kg,Bourbon,Washed / Wet,0.12,1,0,Green,8,High-Quality Grade,0.4
1216,Mexico,1 kg,Typica,Washed / Wet,0.14,0,0,Green,0,High-Quality Grade,1.3
1217,Mexico,1 kg,Typica,Semi-washed / Semi-pulped,0.14,0,0,None,0,High-Quality Grade,1.2
1218,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,,0,High-Quality Grade,1.4
1219,China,2 kg,Typica,Washed / Wet,0,0,0,Green,5,High-Quality Grade,1.9
1220,Mexico,1 kg,Caturra,Washed / Wet,0.13,0,0,None,2,High-Quality Grade,1.2
1221,Nicaragua,69 kg,,,0.1,1,5,Green,7,High-Quality Grade,0
1222,Nicaragua,2 kg,,Natural / Dry,0.11,1,0,Green,1,High-Quality Grade,0
1223,Guatemala,69 kg,Other,Washed / Wet,0.12,0,0,Green,3,High-Quality Grade,0.4
1224,Taiwan,20 kg,Typica,Washed / Wet,0.1,0,0,Green,0,High-Quality Grade,0.8
1225,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,Green,1,High-Quality Grade,1.4
1226,Mexico,1 kg,Typica,Washed / Wet,0.1,0,0,,1,High-Quality Grade,1.3
1227,United States (Hawaii),100 lbs,,,0,0,0,,0,High-Quality Grade,0
1228,Mexico,69 kg,Bourbon,Washed / Wet,0,0,0,Green,0,High-Quality Grade,1.6
1229,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,None,14,High-Quality Grade,1.4
1230,Mexico,1 kg,Caturra,Washed / Wet,0.13,1,0,Green,3,High-Quality Grade,1.2
1231,Brazil,60 kg,Catuai,Natural / Dry,0.12,3,0,Green,4,High-Quality Grade,0
1232,Mexico,1 kg,Typica,Washed / Wet,0.14,0,0,None,0,High-Quality Grade,1.5
1233,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.1,0,0,Bluish-Green,0,High-Quality Grade,0
1234,Guatemala,69 kg,Other,Washed / Wet,0.1,0,0,Green,2,High-Quality Grade,0.4
1235,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,1,0,Green,4,High-Quality Grade,0.4
1236,Mexico,1 kg,Typica,Natural / Dry,0.13,31,0,Green,47,High-Quality Grade,1.3
1237,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,9,High-Quality Grade,0
1238,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,2,0,Green,8,High-Quality Grade,0
1239,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,4,0,Green,31,High-Quality Grade,0
1240,Indonesia,1 kg,Java,Washed / Wet,0.13,0,0,,1,High-Quality Grade,1.3
1241,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,3,High-Quality Grade,1.1
1242,Taiwan,10 kg,Yellow Bourbon,Washed / Wet,0,3,0,Green,4,High-Quality Grade,0.7
1243,Honduras,2 kg,Pacas,Natural / Dry,0.11,2,0,Green,6,High-Quality Grade,1.4
1244,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.12,2,0,Green,3,High-Quality Grade,0
1245,Guatemala,69 kg,Other,Washed / Wet,0.1,1,0,Green,2,High-Quality Grade,0.4
1246,China,2 kg,Typica,Washed / Wet,0.1,0,0,Green,28,High-Quality Grade,1.2
1247,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,3,0,Green,9,High-Quality Grade,0.4
1248,Mexico,1 kg,Other,Washed / Wet,0.12,2,0,Green,7,High-Quality Grade,0.8
1249,Colombia,70 kg,,,0.1,1,0,Green,3,High-Quality Grade,0
1250,Costa Rica,1 kg,Caturra,Washed / Wet,0.12,2,0,Green,4,High-Quality Grade,1.2
1251,Mexico,1 kg,Typica,Washed / Wet,0.11,0,0,Green,3,High-Quality Grade,1.2
1252,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,7,High-Quality Grade,0
1253,Nicaragua,69 kg,,,0.1,0,0,Bluish-Green,0,High-Quality Grade,1
1254,Brazil,5 lbs,,Washed / Wet,0.11,0,0,,2,High-Quality Grade,0
1255,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,2,High-Quality Grade,0.4
1256,Taiwan,10 kg,Typica,Washed / Wet,0.11,0,0,Bluish-Green,0,High-Quality Grade,0.8
1257,United States (Hawaii),100 lbs,,Natural / Dry,0.12,1,0,Green,5,High-Quality Grade,0
1258,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,Green,3,High-Quality Grade,1.3
1259,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,2,0,Green,15,High-Quality Grade,0.4
1260,Brazil,60 kg,Bourbon,Natural / Dry,0,0,0,Green,3,High-Quality Grade,0.9
1261,Guatemala,69 kg,Other,Washed / Wet,0.1,1,0,Green,2,High-Quality Grade,0.4
1262,Mexico,1 kg,Typica,Washed / Wet,0.15,4,0,None,5,High-Quality Grade,1.5
1263,Haiti,4 lbs,Typica,Washed / Wet,0.1,0,0,,1,High-Quality Grade,0.8
1264,United States (Hawaii),2 lbs,,Natural / Dry,0.12,1,0,Green,5,High-Quality Grade,0
1265,Mexico,1 kg,Other,Washed / Wet,0.12,1,0,Green,11,High-Quality Grade,1.2
1266,Peru,2 kg,Caturra,Washed / Wet,0,7,0,Green,9,High-Quality Grade,1.2
1267,India,50 kg,,Natural / Dry,0,0,7,Green,0,High-Quality Grade,0
1268,Mexico,6,Typica,,0,0,0,,0,High-Quality Grade,1.2
1269,Guatemala,2 kg,Bourbon,Washed / Wet,0.12,0,0,None,4,High-Quality Grade,0
1270,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,Green,14,High-Quality Grade,1.1
1271,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,0,0,Green,8,High-Quality Grade,0.4
1272,Guatemala,2 kg,Bourbon,Washed / Wet,0.11,0,0,,5,High-Quality Grade,0
1273,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,0,0,Green,0,High-Quality Grade,0
1274,United States (Hawaii),100 lbs,,Natural / Dry,0,0,0,Bluish-Green,3,High-Quality Grade,0
1275,Mexico,1 kg,Typica,Washed / Wet,0.16,2,0,None,4,High-Quality Grade,1.4
1276,Indonesia,2 kg,Other,Natural / Dry,0.12,4,0,None,26,High-Quality Grade,3.5
1277,Mexico,1 kg,Bourbon,Washed / Wet,0.12,0,0,Green,12,High-Quality Grade,1.2
1278,Honduras,2 kg,Pacas,Natural / Dry,0.11,0,0,Green,7,High-Quality Grade,1.4
1279,Philippines,2 kg,,Washed / Wet,0.12,0,0,Green,2,High-Quality Grade,1
1280,Brazil,59 kg,,Natural / Dry,0.11,0,1,Green,6,High-Quality Grade,0
1281,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,15,High-Quality Grade,0.4
1282,Guatemala,1 kg,Bourbon,Washed / Wet,0.12,0,0,,10,High-Quality Grade,0
1283,Mexico,1 kg,Pacamara,Washed / Wet,0.11,4,0,Green,20,High-Quality Grade,1.1
1284,Mexico,1 kg,Mundo Novo,Washed / Wet,0.11,0,0,Green,20,High-Quality Grade,1.2
1285,Mexico,1 kg,Other,Washed / Wet,0.12,0,0,,8,High-Quality Grade,1.1
1286,Mexico,1 kg,Typica,Washed / Wet,0.13,23,0,Bluish-Green,29,High-Quality Grade,1.3
1287,Mexico,1 kg,Typica,Washed / Wet,0.14,15,0,Green,7,Standard Grade,0.8
1288,Mexico,1 kg,Typica,Washed / Wet,0.17,0,0,None,6,Standard Grade,1.5
1289,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,30,Standard Grade,1.2
1290,Guatemala,1 kg,Bourbon,Washed / Wet,0.11,0,0,,8,Standard Grade,0
1291,Guatemala,,,,,,,,,,0
1293,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,7,Standard Grade,1.7
1294,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,1,0,Blue-Green,2,Standard Grade,0
1295,Guatemala,69 kg,Bourbon,Washed / Wet,0.11,1,0,Green,1,Standard Grade,0.4
1296,Mexico,1 kg,Typica,Washed / Wet,0.14,3,0,Green,11,Standard Grade,1.1
1297,Mexico,1 kg,Typica,Washed / Wet,0.13,0,0,None,27,Standard Grade,1.2
1298,Mexico,1 kg,Typica,Washed / Wet,0.12,0,0,Green,19,Standard Grade,1.2
1299,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0,9,0,,17,Standard Grade,0
1300,Brazil,60 kg,,,0.11,0,1,Green,0,Standard Grade,0
1301,Honduras,2 kg,Pacas,Washed / Wet,0.11,1,0,Green,16,Standard Grade,1.4
1302,Mexico,69 kg,Typica,Washed / Wet,0,1,0,,1,Standard Grade,1.2
1303,Colombia,5 lbs,,Natural / Dry,0,0,0,Bluish-Green,15,Standard Grade,0
1304,United States (Hawaii),100 lbs,Hawaiian Kona,Natural / Dry,0.11,5,0,Green,9,Standard Grade,0
1305,Haiti,130 lbs,,,0.08,1,0,,0,Standard Grade,1
1306,Costa Rica,1 kg,Caturra,Washed / Wet,0.11,0,0,Green,7,Standard Grade,1.2
1307,Mexico,1 kg,Mundo Novo,Washed / Wet,0.12,4,0,Green,24,Standard Grade,0.8
1308,Mexico,1 kg,Bourbon,Washed / Wet,0.11,0,0,Green,0,Standard Grade,1.8
1309,Mexico,2 kg,Typica,Washed / Wet,0.12,0,0,Green,1,Standard Grade,1
1310,Brazil,59 kg,,Natural / Dry,0.11,0,1,Green,55,Standard Grade,0
1311,Honduras,1 kg,Catuai,Washed / Wet,0.1,0,0,Green,4,Commercial Grade,1.4
1312,Honduras,1 kg,Catuai,Washed / Wet,0.1,0,0,Green,3,Commercial Grade,1.4
1313,Honduras,1 kg,Catuai,Washed / Wet,0.1,0,0,Green,4,Commercial Grade,1.4
1314,Mexico,1 kg,Bourbon,Washed / Wet,0.11,0,0,None,20,Commercial Grade,0.9
1315,Haiti,2 kg,Typica,Natural / Dry,0.14,8,0,Blue-Green,16,Commercial Grade,0.4
1316,Nicaragua,69 kg,Caturra,Other,0.13,1,0,Green,5,Commercial Grade,1.1
1317,Guatemala,1 kg,Catuai,Washed / Wet,0.1,0,0,Green,4,Below Standard Grade,0.4
1318,Honduras,69 kg,Caturra,,0.12,0,0,Green,2,Below Standard Grade,1.4
